id,category,value
1,CategoryA,100
2,CategoryB,200
3,CategoryA,150
4,CategoryC,300
5,CategoryB,250
6,CategoryA,180
7,CategoryC,220
8,CategoryB,190
9,CategoryA,210
10,CategoryC,160
11,CategoryA,100
12,CategoryB,200
13,CategoryA,150
14,CategoryC,300
15,CategoryB,250
16,CategoryA,180
17,CategoryC,220
18,CategoryB,190
19,CategoryA,210
20,CategoryC,160
21,CategoryA,100
22,CategoryB,200
23,CategoryA,150
24,CategoryC,300
25,CategoryB,250
26,CategoryA,180
27,CategoryC,220
28,CategoryB,190
29,CategoryA,210
30,CategoryC,160
31,CategoryA,100
32,CategoryB,200
33,CategoryA,150
34,CategoryC,300
35,CategoryB,250
36,CategoryA,180
37,CategoryC,220
38,CategoryB,190
39,CategoryA,210
40,CategoryC,160
41,CategoryA,100
42,CategoryB,200
43,CategoryA,150
44,CategoryC,300
45,CategoryB,250
46,CategoryA,180
47,CategoryC,220
48,CategoryB,190
49,CategoryA,210
50,CategoryC,160
51,CategoryA,100
52,CategoryB,200
53,CategoryA,150
54,CategoryC,300
55,CategoryB,250
56,CategoryA,180
57,CategoryC,220
58,CategoryB,190
59,CategoryA,210
60,CategoryC,160
61,CategoryA,100
62,CategoryB,200
63,CategoryA,150
64,CategoryC,300
65,CategoryB,250
66,CategoryA,180
67,CategoryC,220
68,CategoryB,190
69,CategoryA,210
70,CategoryC,160
71,CategoryA,100
72,CategoryB,200
73,CategoryA,150
74,CategoryC,300
75,CategoryB,250
76,CategoryA,180
77,CategoryC,220
78,CategoryB,190
79,CategoryA,210
80,CategoryC,160
81,CategoryA,100
82,CategoryB,200
83,CategoryA,150
84,CategoryC,300
85,CategoryB,250
86,CategoryA,180
87,CategoryC,220
88,CategoryB,190
89,CategoryA,210
90,CategoryC,160
91,CategoryA,100
92,CategoryB,200
93,CategoryA,150
94,CategoryC,300
95,CategoryB,250
96,CategoryA,180
97,CategoryC,220
98,CategoryB,190
99,CategoryA,210
100,CategoryC,160
101,CategoryA,100
102,CategoryB,200
103,CategoryA,150
104,CategoryC,300
105,CategoryB,250
106,CategoryA,180
107,CategoryC,220
108,CategoryB,190
109,CategoryA,210
110,CategoryC,160
111,CategoryA,100
112,CategoryB,200
113,CategoryA,150
114,CategoryC,300
115,CategoryB,250
116,CategoryA,180
117,CategoryC,220
118,CategoryB,190
119,CategoryA,210
120,CategoryC,160
121,CategoryA,100
122,CategoryB,200
123,CategoryA,150
124,CategoryC,300
125,CategoryB,250
126,CategoryA,180
127,CategoryC,220
128,CategoryB,190
129,CategoryA,210
130,CategoryC,160
131,CategoryA,100
132,CategoryB,200
133,CategoryA,150
134,CategoryC,300
135,CategoryB,250
136,CategoryA,180
137,CategoryC,220
138,CategoryB,190
139,CategoryA,210
140,CategoryC,160
141,CategoryA,100
142,CategoryB,200
143,CategoryA,150
144,CategoryC,300
145,CategoryB,250
146,CategoryA,180
147,CategoryC,220
148,CategoryB,190
149,CategoryA,210
150,CategoryC,160
151,CategoryA,100
152,CategoryB,200
153,CategoryA,150
154,CategoryC,300
155,CategoryB,250
156,CategoryA,180
157,CategoryC,220
158,CategoryB,190
159,CategoryA,210
160,CategoryC,160
161,CategoryA,100
162,CategoryB,200
163,CategoryA,150
164,CategoryC,300
165,CategoryB,250
166,CategoryA,180
167,CategoryC,220
168,CategoryB,190
169,CategoryA,210
170,CategoryC,160
171,CategoryA,100
172,CategoryB,200
173,CategoryA,150
174,CategoryC,300
175,CategoryB,250
176,CategoryA,180
177,CategoryC,220
178,CategoryB,190
179,CategoryA,210
180,CategoryC,160
181,CategoryA,100
182,CategoryB,200
183,CategoryA,150
184,CategoryC,300
185,CategoryB,250
186,CategoryA,180
187,CategoryC,220
188,CategoryB,190
189,CategoryA,210
190,CategoryC,160
191,CategoryA,100
192,CategoryB,200
193,CategoryA,150
194,CategoryC,300
195,CategoryB,250
196,CategoryA,180
197,CategoryC,220
198,CategoryB,190
199,CategoryA,210
200,CategoryC,160
201,CategoryA,100
202,CategoryB,200
203,CategoryA,150
204,CategoryC,300
205,CategoryB,250
206,CategoryA,180
207,CategoryC,220
208,CategoryB,190
209,CategoryA,210
210,CategoryC,160
211,CategoryA,100
212,CategoryB,200
213,CategoryA,150
214,CategoryC,300
215,CategoryB,250
216,CategoryA,180
217,CategoryC,220
218,CategoryB,190
219,CategoryA,210
220,CategoryC,160
221,CategoryA,100
222,CategoryB,200
223,CategoryA,150
224,CategoryC,300
225,CategoryB,250
226,CategoryA,180
227,CategoryC,220
228,CategoryB,190
229,CategoryA,210
230,CategoryC,160
231,CategoryA,100
232,CategoryB,200
233,CategoryA,150
234,CategoryC,300
235,CategoryB,250
236,CategoryA,180
237,CategoryC,220
238,CategoryB,190
239,CategoryA,210
240,CategoryC,160
241,CategoryA,100
242,CategoryB,200
243,CategoryA,150
244,CategoryC,300
245,CategoryB,250
246,CategoryA,180
247,CategoryC,220
248,CategoryB,190
249,CategoryA,210
250,CategoryC,160
251,CategoryA,100
252,CategoryB,200
253,CategoryA,150
254,CategoryC,300
255,CategoryB,250
256,CategoryA,180
257,CategoryC,220
258,CategoryB,190
259,CategoryA,210
260,CategoryC,160
261,CategoryA,100
262,CategoryB,200
263,CategoryA,150
264,CategoryC,300
265,CategoryB,250
266,CategoryA,180
267,CategoryC,220
268,CategoryB,190
269,CategoryA,210
270,CategoryC,160
271,CategoryA,100
272,CategoryB,200
273,CategoryA,150
274,CategoryC,300
275,CategoryB,250
276,CategoryA,180
277,CategoryC,220
278,CategoryB,190
279,CategoryA,210
280,CategoryC,160
281,CategoryA,100
282,CategoryB,200
283,CategoryA,150
284,CategoryC,300
285,CategoryB,250
286,CategoryA,180
287,CategoryC,220
288,CategoryB,190
289,CategoryA,210
290,CategoryC,160
291,CategoryA,100
292,CategoryB,200
293,CategoryA,150
294,CategoryC,300
295,CategoryB,250
296,CategoryA,180
297,CategoryC,220
298,CategoryB,190
299,CategoryA,210
300,CategoryC,160
301,CategoryA,100
302,CategoryB,200
303,CategoryA,150
304,CategoryC,300
305,CategoryB,250
306,CategoryA,180
307,CategoryC,220
308,CategoryB,190
309,CategoryA,210
310,CategoryC,160
311,CategoryA,100
312,CategoryB,200
313,CategoryA,150
314,CategoryC,300
315,CategoryB,250
316,CategoryA,180
317,CategoryC,220
318,CategoryB,190
319,CategoryA,210
320,CategoryC,160
321,CategoryA,100
322,CategoryB,200
323,CategoryA,150
324,CategoryC,300
325,CategoryB,250
326,CategoryA,180
327,CategoryC,220
328,CategoryB,190
329,CategoryA,210
330,CategoryC,160
331,CategoryA,100
332,CategoryB,200
333,CategoryA,150
334,CategoryC,300
335,CategoryB,250
336,CategoryA,180
337,CategoryC,220
338,CategoryB,190
339,CategoryA,210
340,CategoryC,160
341,CategoryA,100
342,CategoryB,200
343,CategoryA,150
344,CategoryC,300
345,CategoryB,250
346,CategoryA,180
347,CategoryC,220
348,CategoryB,190
349,CategoryA,210
350,CategoryC,160
351,CategoryA,100
352,CategoryB,200
353,CategoryA,150
354,CategoryC,300
355,CategoryB,250
356,CategoryA,180
357,CategoryC,220
358,CategoryB,190
359,CategoryA,210
360,CategoryC,160
361,CategoryA,100
362,CategoryB,200
363,CategoryA,150
364,CategoryC,300
365,CategoryB,250
366,CategoryA,180
367,CategoryC,220
368,CategoryB,190
369,CategoryA,210
370,CategoryC,160
371,CategoryA,100
372,CategoryB,200
373,CategoryA,150
374,CategoryC,300
375,CategoryB,250
